,userid,product_category,productName,content,star_rating,review_ranking_score,time
29894,sim6***,닭가슴살,아임닭 닭가슴살 75종 / 훈제 스팀 저염 소세지 스테이크 헬스,닭가슴살 브랜드가 많아 고민했는데 주변 추천으로 구매합니다,5,-68.90106,2023-03-23T14:56:48.274+00:00
29895,euna*****,닭가슴살,아임닭 닭가슴살 75종 / 훈제 스팀 저염 소세지 스테이크 헬스,다이어트할 때 이거만 먹어요ㅠㅠ 최고의 맛있는 닭가슴살  💕,5,-68.90131,2023-04-10T05:13:55.809+00:00
29896,s1****,닭가슴살,아임닭 닭가슴살 75종 / 훈제 스팀 저염 소세지 스테이크 헬스,지난번에 종류별로 구매했는데 소스퐁닭이 너무 맛있어서 이번엔 전부 소스퐁닭만 구매해요. 다이어트용으로 샀는데 너무 맛있어서 계속 먹고 싶네요 ㅋㅋ,5,-68.90203,2023-03-12T03:32:30.987+00:00
29897,s1****,닭가슴살,아임닭 닭가슴살 75종 / 훈제 스팀 저염 소세지 스테이크 헬스,지난번에 종류별로 구매했는데 소스퐁닭이 너무 맛있어서 이번엔 전부 소스퐁닭만 구매해요. 다이어트용으로 샀는데 너무 맛있어서 계속 먹고 싶네요 ㅋㅋ,5,-68.90203,2023-03-12T03:32:12.850+00:00
29898,s1****,닭가슴살,아임닭 닭가슴살 75종 / 훈제 스팀 저염 소세지 스테이크 헬스,지난번에 종류별로 구매했는데 소스퐁닭이 너무 맛있어서 이번엔 전부 소스퐁닭만 구매해요. 다이어트용으로 샀는데 너무 맛있어서 계속 먹고 싶네요 ㅋㅋ,5,-68.90203,2023-03-12T03:31:54.311+00:00
29899,s1****,닭가슴살,아임닭 닭가슴살 75종 / 훈제 스팀 저염 소세지 스테이크 헬스,지난번에 종류별로 구매했는데 소스퐁닭이 너무 맛있어서 이번엔 전부 소스퐁닭만 구매해요. 다이어트용으로 샀는데 너무 맛있어서 계속 먹고 싶네요 ㅋㅋ,5,-68.90203,2023-03-12T03:31:32.589+00:00
29900,s1****,닭가슴살,아임닭 닭가슴살 75종 / 훈제 스팀 저염 소세지 스테이크 헬스,지난번에 종류별로 구매했는데 소스퐁닭이 너무 맛있어서 이번엔 전부 소스퐁닭만 구매해요. 다이어트용으로 샀는데 너무 맛있어서 계속 먹고 싶네요 ㅋㅋ,5,-68.90203,2023-03-12T03:31:12.293+00:00
29901,s1****,닭가슴살,아임닭 닭가슴살 75종 / 훈제 스팀 저염 소세지 스테이크 헬스,지난번에 종류별로 구매했는데 소스퐁닭이 너무 맛있어서 이번엔 전부 소스퐁닭만 구매해요. 다이어트용으로 샀는데 너무 맛있어서 계속 먹고 싶네요 ㅋㅋ,5,-68.90203,2023-03-12T03:30:51.818+00:00
29902,dnff********,닭가슴살,아임닭 닭가슴살 75종 / 훈제 스팀 저염 소세지 스테이크 헬스,포장도 잘되어있고 렌지에 데워 먹을수 있어서  편리해요 맛도 맛있어요,5,-68.90249,2023-03-18T12:34:52.067+00:00
29903,hada****,닭가슴살,아임닭 닭가슴살 75종 / 훈제 스팀 저염 소세지 스테이크 헬스,배송빠릅니다.. 일단 먹어봐야 맛은 알거같아요,4,-68.902565,2023-04-16T00:17:59.653+00:00
29904,covs****,닭가슴살,아임닭 닭가슴살 75종 / 훈제 스팀 저염 소세지 스테이크 헬스,맛있고 괜찮습니다.,5,-68.903885,2023-04-24T02:24:59.770+00:00
29905,euna*****,닭가슴살,아임닭 닭가슴살 75종 / 훈제 스팀 저염 소세지 스테이크 헬스,하 맛도 있고 배도 부른데 이 칼로리라구요? 최고다 진짜ㅎㅎ,5,-68.90411,2023-04-10T05:15:56.477+00:00
